Instance name,On-Demand hourly rate,vCPU,Memory,Storage,Network performance
x2idn.metal,$13.34 ,128,2048 GiB,2 x 1900 NVMe SSD,100 Gigabit
x2iedn.xlarge,$0.83 ,4,128 GiB,1 x 118 NVMe SSD,Up to 25 Gigabit
x2iedn.2xlarge,$1.67 ,8,256 GiB,1 x 237 NVMe SSD,Up to 25 Gigabit
x2iedn.4xlarge,$3.33 ,16,512 GiB,1 x 475 NVMe SSD,Up to 25 Gigabit
x2iedn.8xlarge,$6.67 ,32,1024 GiB,1 x 950 NVMe SSD,25 Gigabit
x2iedn.16xlarge,$13.34 ,64,2048 GiB,1 x 1900 NVMe SSD,50 Gigabit
x2iedn.24xlarge,$20.01 ,96,3072 GiB,2 x 1425 NVMe SSD,75 Gigabit
x2iedn.32xlarge,$26.68 ,128,4096 GiB,2 x 1900 NVMe SSD,100 Gigabit
x2iedn.metal,$26.68 ,128,4096 GiB,2 x 1900 NVMe SSD,100 Gigabit
x1.16xlarge,$6.67 ,64,976 GiB,1 x 1920 SSD,High
x1.32xlarge,$13.34 ,128,1952 GiB,2 x 1920 SSD,High
x1e.xlarge,$0.83 ,4,122 GiB,1 x 120 SSD,Up to 10 Gigabit
x1e.2xlarge,$1.67 ,8,244 GiB,1 x 240 SSD,Up to 10 Gigabit
x1e.4xlarge,$3.34 ,16,488 GiB,1 x 480 SSD,Up to 10 Gigabit
x1e.8xlarge,$6.67 ,32,976 GiB,1 x 960 SSD,Up to 10 Gigabit
x1e.16xlarge,$13.34 ,64,1952 GiB,1 x 1920 SSD,10 Gigabit
x1e.32xlarge,$26.69 ,128,3904 GiB,2 x 1920 SSD,25 Gigabit
r7g.medium,$0.05 ,1,8 GiB,EBS Only,Up to 12500 Megabit
r7g.large,$0.11 ,2,16 GiB,EBS Only,Up to 12500 Megabit
r7g.xlarge,$0.21 ,4,32 GiB,EBS Only,Up to 12500 Megabit
r7g.2xlarge,$0.43 ,8,64 GiB,EBS Only,Up to 15 Gigabit
r7g.4xlarge,$0.86 ,16,128 GiB,EBS Only,Up to 15 Gigabit
r7g.8xlarge,$1.71 ,32,256 GiB,EBS Only,15 Gigabit
r7g.12xlarge,$2.57 ,48,384 GiB,EBS Only,22500 Megabit
r7g.16xlarge,$3.43 ,64,512 GiB,EBS Only,30 Gigabit
r7g.metal,$3.43 ,64,512 GiB,EBS Only,30 Gigabit
r6a.large,$0.11 ,2,16 GiB,EBS Only,Up to 12500 Megabit
r6a.xlarge,$0.23 ,4,32 GiB,EBS Only,Up to 12500 Megabit
r6a.2xlarge,$0.45 ,8,64 GiB,EBS Only,Up to 12500 Megabit
r6a.4xlarge,$0.91 ,16,128 GiB,EBS Only,Up to 12500 Megabit
r6a.8xlarge,$1.81 ,32,256 GiB,EBS Only,12500 Megabit
r6a.12xlarge,$2.72 ,48,384 GiB,EBS Only,18750 Megabit
r6a.16xlarge,$3.63 ,64,512 GiB,EBS Only,25000 Megabit
r6a.24xlarge,$5.44 ,96,768 GiB,EBS Only,37500 Megabit
r6a.32xlarge,$7.26 ,128,1024 GiB,EBS Only,50000 Megabit
r6a.48xlarge,$10.89 ,192,1536 GiB,EBS Only,50000 Megabit
r6a.metal,$10.89 ,192,1536 GiB,EBS Only,50000 Megabit
r6g.medium,$0.05 ,1,8 GiB,EBS Only,Up to 10 Gigabit
r6g.large,$0.10 ,2,16 GiB,EBS Only,Up to 10 Gigabit
r6g.xlarge,$0.20 ,4,32 GiB,EBS Only,Up to 10 Gigabit
r6g.2xlarge,$0.40 ,8,64 GiB,EBS Only,Up to 10 Gigabit
r6g.4xlarge,$0.81 ,16,128 GiB,EBS Only,Up to 10 Gigabit
r6g.8xlarge,$1.61 ,32,256 GiB,EBS Only,12 Gigabit
r6g.12xlarge,$2.42 ,48,384 GiB,EBS Only,20 Gigabit
r6g.16xlarge,$3.23 ,64,512 GiB,EBS Only,25 Gigabit
r6g.metal,$3.23 ,64,512 GiB,EBS Only,25 Gigabit
r6gd.medium,$0.06 ,1,8 GiB,1 x 59 NVMe SSD,Up to 10 Gigabit
r6gd.large,$0.12 ,2,16 GiB,1 x 118 NVMe SSD,Up to 10 Gigabit
r6gd.xlarge,$0.23 ,4,32 GiB,1 x 237 NVMe SSD,Up to 10 Gigabit
r6gd.2xlarge,$0.46 ,8,64 GiB,1 x 475 NVMe SSD,Up to 10 Gigabit
r6gd.4xlarge,$0.92 ,16,128 GiB,1 x 950 NVMe SSD,Up to 10 Gigabit
r6gd.8xlarge,$1.84 ,32,256 GiB,1 x 1900 NVMe SSD,12 Gigabit
r6gd.12xlarge,$2.76 ,48,384 GiB,2 x 1425 NVMe SSD,20 Gigabit
r6gd.16xlarge,$3.69 ,64,512 GiB,2 x 1900 NVMe SSD,25 Gigabit
r6gd.metal,$3.69 ,64,512 GiB,2 x 1900 NVMe SSD,25 Gigabit
r6i.large,$0.13 ,2,16 GiB,EBS Only,Up to 12500 Megabit
r6i.xlarge,$0.25 ,4,32 GiB,EBS Only,Up to 12500 Megabit
r6i.2xlarge,$0.50 ,8,64 GiB,EBS Only,Up to 12500 Megabit
r6i.4xlarge,$1.01 ,16,128 GiB,EBS Only,Up to 12500 Megabit
r6i.8xlarge,$2.02 ,32,256 GiB,EBS Only,12500 Megabit
r6i.12xlarge,$3.02 ,48,384 GiB,EBS Only,18750 Megabit
r6i.16xlarge,$4.03 ,64,512 GiB,EBS Only,25000 Megabit
r6i.24xlarge,$6.05 ,96,768 GiB,EBS Only,37500 Megabit
r6i.32xlarge,$8.06 ,128,1024 GiB,EBS Only,50000 Megabit
r6i.metal,$8.06 ,128,1024 GiB,EBS Only,50000 Megabit
r6id.large,$0.15 ,2,16 GiB,1 x 118 SSD,Up to 12500 Megabit
r6id.xlarge,$0.30 ,4,32 GiB,1 x 237 SSD,Up to 12500 Megabit
r6id.2xlarge,$0.60 ,8,64 GiB,1 x 474 SSD,Up to 12500 Megabit
r6id.4xlarge,$1.21 ,16,128 GiB,1 x 950 SSD,Up to 12500 Megabit
r6id.8xlarge,$2.42 ,32,256 GiB,1 x 1900 SSD,12500 Megabit
r6id.12xlarge,$3.63 ,48,384 GiB,2 x 1425 SSD,18750 Megabit
r6id.16xlarge,$4.84 ,64,512 GiB,2 x 1900 SSD,25000 Megabit
r6id.24xlarge,$7.26 ,96,768 GiB,4 x 1425 SSD,37500 Megabit
r6id.32xlarge,$9.68 ,128,1024 GiB,4 x 1900 SSD,50000 Megabit
r6id.metal,$9.68 ,128,1024 GiB,4 x 1900 SSD,50000 Megabit
r6idn.large,$0.20 ,2,16 GiB,1 x 118 SSD,Up to 25000 Megabit
r6idn.xlarge,$0.39 ,4,32 GiB,1 x 237 SSD,Up to 30000 Megabit
r6idn.2xlarge,$0.78 ,8,64 GiB,1 x 474 SSD,Up to 40000 Megabit
r6idn.4xlarge,$1.56 ,16,128 GiB,1 x 950 SSD,Up to 50000 Megabit
r6idn.8xlarge,$3.13 ,32,256 GiB,1 x 1900 SSD,50000 Megabit
r6idn.12xlarge,$4.69 ,48,384 GiB,2 x 1425 SSD,75000 Megabit
r6idn.16xlarge,$6.25 ,64,512 GiB,2 x 1900 SSD,100000 Megabit
r6idn.24xlarge,$9.38 ,96,768 GiB,4 x 1425 SSD,150000 Megabit
r6idn.32xlarge,$12.50 ,128,1024 GiB,4 x 1900 SSD,200000 Megabit
r6idn.metal,$12.50 ,128,1024 GiB,4 x 1900 SSD,200000 Megabit
r6in.large,$0.17 ,2,16 GiB,EBS Only,Up to 25000 Megabit
r6in.xlarge,$0.35 ,4,32 GiB,EBS Only,Up to 30000 Megabit
r6in.2xlarge,$0.70 ,8,64 GiB,EBS Only,Up to 40000 Megabit
r6in.4xlarge,$1.39 ,16,128 GiB,EBS Only,Up to 50000 Megabit
r6in.8xlarge,$2.79 ,32,256 GiB,EBS Only,50000 Megabit
r6in.12xlarge,$4.18 ,48,384 GiB,EBS Only,75000 Megabit
r6in.16xlarge,$5.58 ,64,512 GiB,EBS Only,100000 Megabit
r6in.24xlarge,$8.37 ,96,768 GiB,EBS Only,150000 Megabit
r6in.32xlarge,$11.16 ,128,1024 GiB,EBS Only,200000 Megabit
r6in.metal,$11.16 ,128,1024 GiB,EBS Only,200000 Megabit
r5.large,$0.13 ,2,16 GiB,EBS Only,Up to 10 Gigabit
r5.xlarge,$0.25 ,4,32 GiB,EBS Only,Up to 10 Gigabit
r5.2xlarge,$0.50 ,8,64 GiB,EBS Only,Up to 10 Gigabit
r5.4xlarge,$1.01 ,16,128 GiB,EBS Only,Up to 10 Gigabit
r5.8xlarge,$2.02 ,32,256 GiB,EBS Only,10 Gigabit
r5.12xlarge,$3.02 ,48,384 GiB,EBS Only,10 Gigabit
r5.16xlarge,$4.03 ,64,512 GiB,EBS Only,20 Gigabit
r5.24xlarge,$6.05 ,96,768 GiB,EBS Only,25 Gigabit
r5.metal,$6.05 ,96,768 GiB,EBS Only,25 Gigabit
r5a.large,$0.11 ,2,16 GiB,EBS Only,Up to 10 Gigabit
r5a.xlarge,$0.23 ,4,32 GiB,EBS Only,Up to 10 Gigabit
r5a.2xlarge,$0.45 ,8,64 GiB,EBS Only,Up to 10 Gigabit
r5a.4xlarge,$0.90 ,16,128 GiB,EBS Only,Up to 10 Gigabit
r5a.8xlarge,$1.81 ,32,256 GiB,EBS Only,Up to 10 Gigabit
r5a.12xlarge,$2.71 ,48,384 GiB,EBS Only,10 Gigabit
r5a.16xlarge,$3.62 ,64,512 GiB,EBS Only,12 Gigabit
r5a.24xlarge,$5.42 ,96,768 GiB,EBS Only,20 Gigabit
r5ad.large,$0.13 ,2,16 GiB,1 x 75 NVMe SSD,Up to 10 Gigabit
r5ad.xlarge,$0.26 ,4,32 GiB,1 x 150 NVMe SSD,Up to 10 Gigabit
r5ad.2xlarge,$0.52 ,8,64 GiB,1 x 300 NVMe SSD,Up to 10 Gigabit
r5ad.4xlarge,$1.05 ,16,128 GiB,2 x 300 NVMe SSD,Up to 10 Gigabit
r5ad.8xlarge,$2.10 ,32,256 GiB,2 x 600 NVMe SSD,Up to 10 Gigabit
r5ad.12xlarge,$3.14 ,48,384 GiB,2 x 900 NVMe SSD,10 Gigabit
r5ad.16xlarge,$4.19 ,64,512 GiB,4 x 600 NVMe SSD,12 Gigabit
